Path,Belongs to,What it is for
assets/,Deco,"All Deco-owned client assets: CSS, JS, fonts, images. Served as-is by the webserver."
assets/css/style.css,Deco (runtime),"Public-site stylesheet. Loaded on every Deco-rendered page. Defines design tokens (--accent, --text, font families) referenced everywhere."
assets/css/dev-draw.css,Deco (editor),"Editor-only stylesheet. Loaded by site/templates/draw.php; never reaches public pages. Styles the toolbar, sidebar, panels, block rows, follow-chain badges, etc."
assets/js/app.js,Deco (runtime),"Runtime renderer. Reads the inlined <script id=""lines-data""> payload that lines-layer.php writes, picks a viewport class, paints SVG paths, drives GSAP/ScrollTrigger animations, runs the multi-hop follow-chain resolver, etc. Loaded on every public page."
assets/js/dev-draw.js,Deco (editor),"The editor itself. Drawing tools, selection, group/master/palette UIs, behavior block panels, follow-this-object UI, snapshots, orphans dialog, save endpoint client. Loaded only on /dev/draw."
assets/js/fonts-bookmarklet.js,Deco (editor),"Source for the editor's font-bundle bookmarklet (Slice 2a-2, v0.8.200). Wrapped at runtime by /dev/draw/fonts-bundle to POST locally-resolved font URLs back to the site."
assets/js/gsap.min.js,Deco (runtime dep),"GreenSock Animation Platform. Drives all of Deco's timed/scroll animation. Vendored, not Kirby."
assets/js/ScrollTrigger.min.js,Deco (runtime dep),"GSAP plugin: ties tweens to scroll position. Vendored."
assets/js/Draggable.min.js,Deco (runtime dep),"GSAP plugin: drag-and-drop primitives. Vendored; currently unused but kept for future."
assets/js/InertiaPlugin.min.js,Deco (runtime dep),"GSAP plugin: physics-y inertial dragging. Vendored; currently unused."
assets/fonts/local/,Deco,"Local font files (TTF/OTF). manifest.json describes what's available. Read by the editor's font-bundle / runtime font-loading."
assets/fonts/local/manifest.json,Deco,"Lists local fonts with their files + display names."
assets/images/,Deco,"Static images bundled with the design. Currently two test PNGs; SVG-import / image-drop flows would deposit files here."
site/,Both,"Kirby convention root for everything that defines THIS site (templates, snippets, plugins, blueprints, config, runtime dirs). All contents below are Deco-owned even though the directory's existence is a Kirby convention."
site/config/config.php,Both,"Kirby's boot config — and Deco's HTTP routes: POST /dev/draw/save, /dev/draw/library/{list,save,load}, /dev/draw/font-bundle, /dev/draw/fonts-bundle. Exposes option('version') and option('schemaVersion') so PHP/JS code can read VERSION + SCHEMA_VERSION. Authoritative wiring point between the two systems."
site/blueprints/site.yml,Kirby,"Kirby Panel site-level schema (title etc.). Used only if the Kirby Panel is enabled — Deco does not use the Panel today, so this is essentially inert."
site/blueprints/pages/default.yml,Kirby,"Default page schema for the Kirby Panel. Same: inert because Deco does not use the Panel."
site/plugins/deco/,Deco,"Deco's PHP plugin. Registered with Kirby as 'site/deco'. This IS Deco's server-side core."
site/plugins/deco/index.php,Deco,"Deco's server-side helpers: deco_load_palette, deco_load_class_data, deco_resolve_instance (the instance → master compose step including pass-through of followsMasterId), deco_viewbox_attr, deco_default_dims, deco_load_classes, deco_load_page_config, deco_load_masters, etc. Bridges on-disk content into the runtime payload format. Also where save / library / font-bundle route handlers do their work."
site/snippets/,Both,"Kirby convention directory for reusable view fragments. All snippets here are Deco-defined."
site/snippets/header.php,Both,"<head> snippet: title, viewport meta, style.css include (cache-busted with ?v=VERSION). Deco content, Kirby convention."
site/snippets/footer.php,Both,"Closing tags + app.js include (cache-busted). Deco content, Kirby convention."
site/snippets/lines-layer.php,Deco,"Builds the runtime data payload (classes + palette + per-class instances/groups + page config + version) and emits the <svg id=""lines-layer""> + <script id=""lines-data""> blocks that app.js reads. The bridge that turns content/ on-disk JSON into something app.js can consume."
site/snippets/c-button.php,Deco,"Page-content snippet for one of three button shapes used in design pages."
site/snippets/e-button.php,Deco,"Page-content snippet for one of three button shapes."
site/snippets/rr-button.php,Deco,"Page-content snippet for one of three button shapes."
site/snippets/index.html,Kirby,"Empty directory-listing stub. Kirby/webserver convention: prevents the webserver from auto-indexing a sensitive directory."
site/templates/,Both,"Kirby convention directory for page templates. All templates here are Deco-defined."
site/templates/default.php,Both,"Fallback page template — wraps header + content + footer. Used when a page doesn't specify a more specific template."
site/templates/home.php,Both,"Home page template — adds the lines-layer SVG so the runtime can render on /. Deco's main page wrapper."
site/templates/draw.php,Deco,"The editor's template. Renders the editor toolbar + sidebar + canvas, inlines a much richer payload than the runtime (pages, classes, masters, palette, trigger suggestions, image sources, version), loads dev-draw.js. Reached at /dev/draw. The Deco editor lives here."
site/accounts/,Kirby,"Where Kirby would store Panel user credentials when the Panel is in use. Contains only index.html stub; no user accounts in this project. Git ignores anything else here."
site/cache/,Kirby,"Kirby's HTTP/page cache (when enabled). Only the stub here. Gitignored otherwise."
site/sessions/,Kirby,"Where Kirby keeps session files for logged-in users. Only the stub here. Gitignored otherwise."
content/,Both,"Kirby convention directory for site content (Kirby reads here to know what pages exist). Below this point, the .txt files are Kirby-shaped (page identity) and the .json files are Deco-shaped (Deco's actual data)."
content/site.txt,Kirby,"Kirby site-level content (title, etc.) in Kirby's text format. Kirby reads on boot."
content/page.json,Deco,"Top-level Deco config: useClasses + per-class dims (pageW/H, canvasW/H) for the canvas. Carries _schemaVersion (currently 11). Used as the default config when a sub-page does not define its own."
content/_shared/,Deco,"Site-wide Deco data (not per-page)."
content/_shared/classes.json,Deco,"Class definitions: id + display name for narrow / medium / wide viewport classes."
content/_shared/masters.json,Deco,"The master library. Canonical visual definitions: each entry is one logical object (id, name, kind, params/points/segments/d, stroke, width, scope). Every instance in every class on every page references a master here."
content/_shared/palette.json,Deco,"Site-wide colour palette (v4+ canonical location). Editor reads and writes here."
content/_shared/font-bundle.json,Deco,"Resolved font-bundle entries (URLs / files) for the editor's font system. Written by the /dev/draw/font-bundle endpoint."
content/dev/draw/draw.txt,Both,"Kirby page-metadata file that makes /dev/draw exist as a Kirby route — that is how the Deco editor's draw.php template gets reached. Deco's editor depends on it; Kirby is what actually parses it."
content/error/,Kirby + Deco,"Kirby's 'error' page (404 fallback). error.txt is Kirby; the per-class instances.json files are Deco (currently empty — error page has no Deco content)."
content/error/error.txt,Kirby,"Kirby page-metadata for the error page."
content/error/{wide|medium|narrow}/instances.json,Deco,"Per-class Deco instance records for the error page. Currently empty lists."
content/error/page.json,Deco,"Per-page Deco config for the error page (uses defaults from content/page.json today)."
content/home/,Both,"The home page directory."
content/home/home.txt,Kirby,"Kirby page-metadata for / (home page title, etc.)."
content/home/page.json,Deco,"Per-page Deco config for the home page: useClasses + dims."
content/home/{wide|medium|narrow}/instances.json,Deco,"Per-class instance records for the home page. Each entry: { id, masterId, groupId, positionOffset, behaviors[], overrides, followsMasterId? }. The 'skin' referencing a master. One file per class."
content/home/{wide|medium|narrow}/groups.json,Deco,"Per-class group records for the home page. Each group: id, name, hidden, defaults (fallback translateX/Y, rotate, drawIn applied to lines in this group)."
content/{wide|medium|narrow}/instances.json,Deco (legacy/empty),"Top-level per-class instance files. Currently empty lists. Legacy from an earlier site-level shape; harmless but inactive. Safe to delete after a verification pass."
